46520,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
4269634,0,2014-10-05,Host,1,Centro Storico,2,1,Entire home,4,53,7,4.57,5,4.71,4.86,5,4.43,4.29,0.07,Firenze,Early Winter,1,private,"43.78025, 11.24429",2024-12-15
4773345,10,2014-12-08,Host,2,Centro Storico,2,1,Entire home,3,200,104,4.33,4.53,4.43,4.57,4.62,4.92,4.33,0.95,Firenze,Early Winter,1,private,"43.77015, 11.25985",2024-12-15
4773534,10,2014-12-08,Host,3,Campo di Marte,4,2,Entire home,5,170,84,4.8,4.89,4.81,4.93,4.89,4.76,4.73,0.78,Firenze,Early Winter,2,private,"43.77621, 11.2728",2024-12-15
4272854,0,2013-07-12,Host,37,Campo di Marte,2,1,Entire home,4,130,12,4.25,4.33,4.25,4.33,4.5,4.67,4.17,0.11,Firenze,Early Winter,1,private,"43.77059, 11.27205",2024-12-15
4275770,6,2014-04-21,Host,12,Centro Storico,2,1,Entire home,4,286,15,4.27,4.2,4.53,4.33,4.27,4.53,3.93,0.14,Firenze,Early Winter,1,private,"43.76961, 11.24649",2024-12-15
4284132,3,2014-09-16,Superhost,4,Centro Storico,2,1,Entire home,1,38,11,4.45,4.55,4.45,4.73,4.73,4.73,4.45,0.14,Firenze,Early Winter,1,private,"43.76679, 11.24407",2024-12-15
4797639,3,2012-08-05,Superhost,6,Centro Storico,3,2,Entire home,5,507,8,5,5,4.88,5,5,5,4.75,0.1,Firenze,Early Winter,3,private,"43.76617, 11.25286",2024-12-15
4284545,3,2014-04-10,Superhost,5,Rifredi,3,2,Private room,2,60,103,4.7,4.68,4.6,4.89,4.89,4.6,4.61,0.94,Firenze,Early Winter,1,shared,"43.79108, 11.25296",2024-12-15
4292294,0,2013-05-28,Host,2,Centro Storico,1,1,Entire home,2,136,9,5,5,4.89,5,4.89,5,5,0.08,Firenze,Early Winter,1,private,"43.7738, 11.26364",2024-12-15
4815489,42,2014-12-13,Superhost,1,Centro Storico,2,1,Entire home,4,201,258,4.9,4.96,4.91,4.98,4.99,4.98,4.89,3.38,Firenze,Early Winter,1,private,"43.77854, 11.25801",2024-12-15
4818200,19,2013-04-16,Superhost,3,Centro Storico,1,1,Entire home,2,66,289,4.72,4.88,4.88,4.78,4.84,4.85,4.75,2.65,Firenze,Early Winter,2,private,"43.77387, 11.24352",2024-12-15
4302124,43,2014-10-09,Superhost,4,Centro Storico,1,1,Entire home,2,153,241,4.95,4.98,4.99,4.95,4.98,5,4.92,2.26,Firenze,Early Winter,1,private,"43.77031, 11.25205",2024-12-15
4818376,69,2014-06-02,Superhost,4,Centro Storico,2,1,Entire home,2,101,410,4.94,4.96,4.98,4.96,4.98,4.87,4.9,3.81,Firenze,Early Winter,1,private,"43.77128, 11.26423",2024-12-15
4308121,74,2012-05-13,Superhost,6,Centro Storico,3,2,Entire home,6,123,378,4.9,4.95,4.95,4.92,4.92,4.91,4.9,3.39,Firenze,Early Winter,1,private,"43.77257, 11.26327",2024-12-15
4309387,85,2014-10-10,Host,1,Centro Storico,4,2,Entire home,4,66,513,4.51,4.75,4.51,4.79,4.81,4.8,4.58,4.63,Firenze,Early Winter,1,private,"43.77128, 11.26451",2024-12-15
4822173,12,2012-05-22,Superhost,14,Centro Storico,1,1,Entire home,2,59,303,4.79,4.84,4.95,4.92,4.95,4.88,4.8,2.78,Firenze,Early Winter,1,private,"43.77342, 11.26372",2024-12-15
4830029,2,2014-05-25,Host,7,Gavinana Galluzzo,4,2,Entire home,4,147,6,4.67,5,4.67,5,4.83,5,4.67,0.06,Firenze,Early Winter,2,private,"43.7504, 11.25508",2024-12-15
4313282,7,2011-01-18,Superhost,10,Centro Storico,1,1,Entire home,2,91,236,4.76,4.88,4.8,4.91,4.93,4.98,4.79,2.26,Firenze,Early Winter,1,private,"43.77345, 11.25898",2024-12-15
4314349,2,2014-04-13,Host,2,Centro Storico,1,1,Entire home,4,112,105,4.67,4.73,4.83,4.8,4.83,4.46,4.61,0.99,Firenze,Early Winter,1,private,"43.78765, 11.23091",2024-12-15
4830227,94,2014-12-15,Host,2,Centro Storico,3,2,Entire home,4,94,583,4.79,4.84,4.78,4.94,4.93,4.97,4.82,5.35,Firenze,Early Winter,1,private,"43.77134, 11.25928",2024-12-15
4830482,10,2010-05-21,Superhost,15,Centro Storico,4,2,Entire home,6,240,162,4.93,4.91,4.95,4.95,4.95,4.93,4.88,1.48,Firenze,Early Winter,2,private,"43.77198, 11.25431",2024-12-15
4316649,0,2014-10-11,Superhost,2,Centro Storico,1,1,Entire home,2,161,25,4.92,4.92,5,4.92,4.96,4.96,4.88,0.24,Firenze,Early Winter,1,private,"43.76777, 11.24428",2024-12-15
4831188,47,2013-11-01,Host,6,Centro Storico,3,2,Entire home,4,89,325,4.8,4.8,4.76,4.88,4.9,4.93,4.74,3,Firenze,Early Winter,1,private,"43.76426, 11.25828",2024-12-15
4317059,19,2014-06-15,Host,2,Centro Storico,5,3,Entire home,6,156,155,4.79,4.81,4.73,4.95,4.94,4.96,4.78,1.39,Firenze,Early Winter,2,private,"43.77595, 11.25917",2024-12-15
4836964,0,2013-02-03,Host,6,Rifredi,2,1,Private room,1,50,4,4.75,4.5,4,5,5,4,4.5,0.05,Firenze,Early Winter,1,private,"43.79299, 11.21592",2024-12-15
